Generation,Best_Fitness,Avg_Fitness
1,231.5169,-866649.1716566667
2,278.9134,-433245.32247
3,278.9134,-133138.04329
4,282.2467,-133108.22891333333
5,282.2467,-333156.8699766667
6,282.2467,-266469.95527333335
7,282.2467,-299824.7082466667
8,282.2467,-299813.20266666665
9,282.2467,-133103.25992333333
10,282.2467,-266474.9146
11,282.2467,-333161.77742666664
12,282.2467,-199785.05789999999
13,282.2467,-199780.22316333334
14,282.2467,-233134.63194333334
15,282.2467,-199799.71041
16,282.2467,-233130.1932433333
17,282.2467,-199787.48117666665
18,282.2467,-133103.0927766667
19,282.2467,-333161.3186533333
20,282.2467,-233136.45629666664
21,282.2467,-266471.93041
22,282.2467,-266472.36608
23,282.2467,-133114.97097
24,282.2467,-133101.06390666668
25,282.2467,-166446.31845666666
26,282.2467,-333161.14560000005
27,282.2467,-266470.30698666663
28,282.2467,-299810.4106566666
29,282.2467,-299817.4869166667
30,282.2467,-399841.8336633333
